brand,count_like,count_comment,followers,y,text_nov,text_div,text_DS,text_ATI,image_nov,image_div,image_DS,image_ATI,meta_nov,meta_div,meta_DS,meta_ATI,ATI_final,DS_final,caption,ocr_text
teamagichand00,97,9,10000.0,0.014199985800014199,0.0,1.0000001,0.50000006,49.999992,0.5232971,0.8281791,0.5232971,47.67029,0.4723826,0.06790593,0.4723826,52.761738,47.67029,0.5232971,"手搖南霸天！（找找看是那家）
不可思議的合作即將到來。
想要上架被通知請 +1",TAIWAN' T# 15 BUBBLE 0 BUB8L ETEAit EEli MEISJE DAT TAIliAI'+ pRIDE punnHinolchiior Hoot BUBBLE cnrifiur TEADRINKT E#104 # Tu NATION TWAi 波霸 TA1]
hanlin.tea,5,0,995.0,0.0050250751248731166,0.0,1.0000001,0.50000006,49.999992,0.656964,0.8993351,0.656964,34.3036,0.40308145,0.02735834,0.40308145,59.691856,34.3036,0.656964,"⚠️近期詐騙猖獗，請大家務必提高警覺！
📢📢📢
讓人很遺憾的，深受大朋友和小朋友喜愛的 #翰林小小調茶師 活動，竟然被不法分子利用😨😡
請大家一定要透過翰林的官方粉絲頁、Instagram帳號或官網來獲取正確的消息來源，切勿輕信來路不明的資訊，以免上當受騙！🚫
提醒：
✅不要相信不實廣告
✅切勿點擊不明連結
若對任何活動有疑問，歡迎私訊小編或撥打消費者專線0800-245189，進行查詢 #防詐騙
❤感謝熱心民眾 Chuang Sheng Yao 提供的寶貴資訊🙇",防詐聲明
hanlin.tea,5,0,995.0,0.0050250751248731166,0.0,1.0000001,0.50000006,49.999992,0.64008754,0.8732093,0.64008754,35.991245,0.28069848,0.21671282,0.28069848,71.93015,35.991245,0.64008754,"#翰林APP 會員獨享📣📣📣
🤩呼叫翰粉們！！！！！
於指定日期至翰林茶館/翰林茶棧/翰林鍋物消費
出示翰林APP畫面，即可享✨9折✨會員優惠
#翰林茶館 #翰林鍋物 #會員優惠","下載APP完成註冊 優惠好康立即領! 行動貴賓卡 一機在手 身分就有 專屬好康 不定期 APP會員獨家優惠 ! 即時資訊 活動資訊/紅利點數/票券優惠/ 交易明細查詢更便利 ! 紅利集點 單筆滿90元集1點 1點 可折抵1元 會員獨享活動 出示翰林AP畫面 [以下指定日期] 4/8 4/22 4/25 5/6 5/20 5/25 6/3 6/17 6/25 至翰林茶館 翰林茶棧,翰林鍋物 即可享9折優惠 1.本活功不得與其牠優惡台H使用 注惹'項 App Store Download on the Google Play GETITON .翰林國際茶貧飲集團保有本優惠活動解釋 燮更 中止之幡力 =1781171|#11111"
hanlin.tea,8,0,995.0,0.008040120199796988,0.0,1.0000001,0.50000006,49.999992,0.32251787,0.7129035,0.32251787,67.748215,0.23099305,0.016345197,0.23099305,76.900696,67.748215,0.32251787,"🏅全中運限定優惠來了🏅
2025全中運開跑啦~~~🏃‍♀️🏃🏃‍♂️
❗️台南區限定
🗓活動時間：2025/4/7~4/25
憑全中運相關證件，享以下超值優惠：
1️⃣ 外帶特大杯同品項✨買一送一✨（一證限優惠一組）
2️⃣ 翰林茶館/翰林鍋物用餐9折優惠！🍲🍜
讓我們一起品嚐美食😋一起為選手加油吧💪
#翰林茶館 #翰林鍋物 #翰林茶棧 #2025全中運 #台南區獨家優惠 #限時優惠",翰林 rlain of Bubbl6 憑全中運柏關證件 外帶特大杯同品項 員搜 台南區獨家優惠 4. 1-4. 25 HANLIN蠱|際蓋m飲黑團 不與其他優惠活動同時使用 注意事項:1.每一張證件限優惠1組 3.翰林國際茶餐飲集團保有本侵惠活動 2.活動限外帶特大杯同品項 Imtermalional EnterpriseC d+ltd 解釋`孌更 中止之權力
hanlin.tea,7,0,995.0,0.007035105174822364,0.0,1.0000001,0.50000006,49.999992,0.15508144,0.68181145,0.15508144,84.49185,0.6994198,0.29348522,0.6994198,30.05802,84.49185,0.15508144,"⏰2025/4/1(二)~4/15(二)
春日尋梅🌸就是現在～😉
翰(您)一起度過🫒梅好時光✨
外帶特大杯✨脆梅綠茶✨
#買一送一 (每日限量20組)
快揪好友一起來吧～🧚‍♀️🧚🧚‍♂️
⚠注意事項：
1.活動不與其他優惠併用。
2.翰林國際茶餐飲集團保有本活動解釋、修改、中止之權力。
#翰林茶館 #翰林茶棧 #翰林鍋物 #優惠活動",4.1(=) 4.15(=) 鮆|脆梅綠茶 買一送 (每日限量20組) f 9尋梅 翰林 Orlain ofBubbl6 翰林 Orloln of Bubbl 翰(您) 一起度過'梅_好時光
hanlin.tea,11,0,995.0,0.011055165274720858,0.0,1.0000001,0.50000006,49.999992,0.2736694,0.71226233,0.2736694,72.633064,0.6921716,0.5218576,0.6921716,30.782843,72.633064,0.2736694,"就是明天😊👏👏👏
#祝翰粉們愚人節快樂",愚入節不愚人 #系金7 4/01起 尋 梅 脆梅綠茶 抬 買一送- 翰林 coming soon The Orloin of Bubblaf' HANLIN蠱瀚團蹤盞=慾黛| International EnterpristCo. Ltd
dejengoolongtea,172,0,13000.0,0.013230759053262266,0.0,1.0000001,0.50000006,49.999992,0.056478444,0.8083151,0.056478444,94.35216,0.64986783,0.043811575,0.64986783,35.013218,94.35216,0.056478444,"清晨薄霧盤桓於茶園、葉脈透著露水
岩石間積滿夜雨🌱
一季轉折
以白毫烏龍茶為概念、呼應全新配料
於4月1日(二)寫下春日註解
𝘚𝘱𝘳𝘪𝘯𝘨’𝘴 𝘍𝘪𝘳𝘴𝘵 𝘉𝘭𝘰𝘰𝘮 白毫烏龍系列
白毫烏龍 𝘔40 𝘓45
蜜桃白毫烏龍 𝘔55 𝘓65
白毫烏龍鮮奶 𝘔60 𝘓70
粉果條 +15",
dejengoolongtea,180,0,13000.0,0.013846143195274465,0.0,1.0000001,0.50000006,49.999992,0.57767755,0.8976923,0.57767755,42.232246,0.20937225,0.0040478245,0.20937225,79.062775,42.232246,0.57767755,"春光初綻映照，萬物在靜謐中初醒
猶如晨露沁入心扉
一場關於春日的對話，就此開展🌸
𝘚𝘱𝘳𝘪𝘯𝘨’𝘴 𝘍𝘪𝘳𝘴𝘵 𝘉𝘭𝘰𝘰𝘮
白毫烏龍系列 Bai Hao Oolong Tea
明日全台上市！",忭 BAl 白 HAO 毫 OOL0NG 鳥 龍 TEA
dejengoolongtea,883,0,13000.0,0.0679230246745964,0.0,1.0000001,0.50000006,49.999992,0.41282433,0.8883446,0.41282433,58.717567,0.17418835,0.0035664283,0.17418835,82.58116,58.717567,0.41282433,"🍂
超商中，藏了一糸焙火的細膩
有茶香、有奶韻也有些大人感
#金焙烏龍奶
即日起至𝟱/𝟭𝟯，嚐鮮體驗𝟮件𝟳𝟬元 (原價39)
7-ELEVEN 限定販售
獻給城市的你",三分增少番廿轟 耳日E ooLoNG TEA PROJECT 限定販售 in 忭 正 慢焙火 細回甘 金焙 a 鳥龍奶 Dar+ = Roisted Odlong Miilk Te3 '
dejengoolongtea,253,0,13000.0,0.019461523491135776,0.0,1.0000001,0.50000006,49.999992,0.24690065,0.82630384,0.24690065,75.30993,0.12195634,0.0027445415,0.12195634,87.80437,75.30993,0.24690065,"選用焙烏龍為基底🍂
經三分慢烤，火韻藏於茶香
溫潤而不喧嘩
暖焙茶香揉合奶韻、和諧深刻
#金焙烏龍奶｜7-ELEVEN 限定
即日起至𝟱/𝟭𝟯，嚐鮮體驗𝟮件𝟳𝟬元 (原價39)",
